date_of_birth,race_ethnicity,religion,sexual_orientation,year_of_award,movie,person
30-Sep-1895,White,Na,Straight,1927,Two Arabian Knights,Lewis Milestone
2-Feb-1886,White,Na,Straight,1930,The Divine Lady,Frank Lloyd
30-Sep-1895,White,Na,Straight,1931,All Quiet on the Western Front,Lewis Milestone
23-Feb-1899,White,Na,Straight,1932,Skippy,Norman Taurog
23-Apr-1894,White,Roman Catholic,Straight,1933,Bad Girl,Frank Borzage
2-Feb-1886,White,Na,Straight,1934,Cavalcade,Frank Lloyd
18-May-1897,White,Roman Catholic,Straight,1935,It Happened One Night,Frank Capra
1-Feb-1894,White,Roman Catholic,Bisexual,1936,The Informer,John Ford
18-May-1897,White,Roman Catholic,Straight,1937,Mr. Deeds Goes to Town,Frank Capra
3-Oct-1898,White,Na,Straight,1938,The Awful Truth,Leo McCarey
18-May-1897,White,Roman Catholic,Straight,1939,You Can't Take It with You,Frank Capra
23-Feb-1883,White,Na,Straight,1940,Gone with the Wind,Victor Fleming
1-Feb-1894,White,Roman Catholic,Bisexual,1941,The Grapes of Wrath,John Ford
1-Feb-1894,White,Roman Catholic,Bisexual,1942,How Green Was My Valley,John Ford
01-יול-02,White,Na,Straight,1943,Mrs. Miniver,William Wyler
24-Dec-1886,White,Na,Straight,1944,Casablanca,Michael Curtiz
3-Oct-1898,White,Na,Straight,1945,Going My Way,Leo McCarey
11-אוק-18,White,Jewish,Gay,1962,West Side Story,Jerome Robbins
22-יונ-06,White,Jewish,Straight,1946,The Lost Weekend,Billy Wilder
01-יול-02,White,Na,Straight,1947,The Best Years of Our Lives,William Wyler
07-ספט-09,White,Na,Straight,1948,Gentleman's Agreement,Elia Kazan
05-אוג-06,White,Na,Straight,1949,The Treasure of the Sierra Madre,John Huston
11-פבר-09,White,Jewish,Straight,1950,A Letter to Three Wives,Joseph L. Mankiewicz
11-פבר-09,White,Jewish,Straight,1951,All About Eve,Joseph L. Mankiewicz
18-דצמ-04,White,Na,Straight,1952,A Place in the Sun,George Stevens
1-Feb-1894,White,Roman Catholic,Bisexual,1953,The Quiet Man,John Ford
29-אפר-07,White,Jewish,Straight,1954,From Here to Eternity,Fred Zinnemann
07-ספט-09,White,Na,Straight,1955,On the Waterfront,Elia Kazan
30-ינו-20,White,Presbyterian,Straight,1956,Marty,Delbert Mann
18-דצמ-04,White,Na,Straight,1957,Giant,George Stevens
25-מרץ-08,White,Na,Straight,1958,The Bridge on the River Kwai,David Lean
28-פבר-03,White,Na,Bisexual,1959,Gigi,Vincente Minnelli
01-יול-02,White,Na,Straight,1960,Ben-Hur,William Wyler
22-יונ-06,White,Jewish,Straight,1961,The Apartment,Billy Wilder
10-ספט-14,White,Na,Straight,1961,West Side Story,Robert Wise
25-מרץ-08,White,Na,Straight,1963,Lawrence of Arabia,David Lean
05-יונ-28,White,Na,Bisexual,1964,Tom Jones,Tony Richardson
7-Jul-1899,White,Na,Gay,1965,My Fair Lady,George Cukor
10-ספט-14,White,Na,Straight,1966,The Sound of Music,Robert Wise
29-אפר-07,White,Jewish,Straight,1967,A Man for All Seasons,Fred Zinnemann
06-נוב-31,White,Jewish,Straight,1968,The Graduate,Mike Nichols
29-נוב-54,White,Jewish,Straight,2008,No Country for Old Men,Joel Coen
30-דצמ-06,White,Na,Straight,1969,Oliver!,Carol Reed
16-פבר-26,White,Na,Gay,1969,Midnight Cowboy,John Schlesinger
30-מאי-20,White,Na,Straight,1970,Patton,Franklin J. Schaffner
29-אוג-35,White,Jewish,Straight,1972,The French Connection,William Friedkin
23-יונ-27,White,Na,Straight,1973,Cabaret,Bob Fosse
20-דצמ-21,White,Na,Straight,1973,The Sting,George Roy Hill
07-אפר-39,White,Na,Straight,1975,The Godfather Part II,Francis Ford Coppola
18-פבר-32,White,Na,Straight,1976,One Flew over the Cuckoo's Nest,Milos Forman
21-דצמ-35,White,Na,Straight,1976,Rocky,John G. Avildsen
01-דצמ-35,White,Jewish,Straight,1978,Annie Hall,Woody Allen
03-פבר-39,White,Na,Straight,1979,The Deer Hunter,Michael Cimino
29-ספט-32,White,Na,Straight,1980,Kramer vs. Kramer,Robert Benton
18-Aug-1936 [1],White,Na,Straight,1980,Ordinary People,Robert Redford
30-מרץ-37,White,Baptist,Straight,1981,Reds,Warren Beatty
29-אוג-23,White,Na,Straight,1982,Gandhi,Richard Attenborough
09-מאי-40,White,Na,Straight,1983,Terms of Endearment,James L. Brooks
18-פבר-32,White,Na,Straight,1985,Amadeus,Milos Forman
01-יול-34,White,Jewish,Straight,1986,Out of Africa,Sydney Pollack
15-ספט-46,White,Atheist,Straight,1990,Platoon,Oliver Stone
16-מרץ-41,White,Na,Straight,1988,The Last Emperor,Bernardo Bertolucci
06-אפר-42,White,Jewish,Straight,1989,Rain Man,Barry Levinson
15-ספט-46,White,Atheist,Straight,1990,Born on the Fourth of July,Oliver Stone
18-ינו-55,White,Baptist,Straight,1991,Dances with Wolves,Kevin Costner
22-פבר-44,White,Na,Straight,1992,The Silence of the Lambs,Jonathan Demme
31-מאי-30,White,Na,Straight,1993,Unforgiven,Clint Eastwood
18-דצמ-46,White,Jewish,Straight,1994,Schindler's List,Steven Spielberg
14-מאי-52,White,Roman Catholic,Straight,1995,Forrest Gump,Robert Zemeckis
03-ינו-56,White,Roman Catholic,Straight,1996,Braveheart,Mel Gibson
06-ינו-54,White,Na,Straight,1997,The English Patient,Anthony Minghella
16-אוג-54,White,Atheist,Straight,1998,Titanic,James Cameron
18-דצמ-46,White,Jewish,Straight,1999,Saving Private Ryan,Steven Spielberg
01-אוג-65,White,Na,Straight,2000,American Beauty,Sam Mendes
14-ינו-63,White,Atheist,Straight,2001,Traffic,Steven Soderbergh
01-מרץ-54,White,Na,Straight,2002,A Beautiful Mind,Ron Howard
18-אוג-33,White,See Note,Straight,2003,The Pianist,Roman Polanski
31-אוק-61,White,Na,Straight,2004,The Lord of the Rings: Return of the King,Peter Jackson
31-מאי-30,White,Na,Straight,2005,Million Dollar Baby,Clint Eastwood
23-אוק-54,Asian,Na,Straight,2006,Brokeback Mountain,Ang Lee
17-נוב-42,White,Roman Catholic,Straight,2007,The Departed,Martin Scorsese
21-ספט-57,White,Jewish,Straight,2008,No Country for Old Men,Ethan Coen
20-אוק-56,White,Roman Catholic,Straight,2009,Slumdog Millionaire,Danny Boyle
27-נוב-51,White,Na,Straight,2009,The Hurt Locker,Kathryn Bigelow
1972,White,Na,Na,2011,The King's Speech,Tom Hooper
29-מרץ-67,White,Jewish,Straight,2012,The Artist,Michel Hazanavicius
23-אוק-54,Asian,Na,Straight,2013,Life of Pi,Ang Lee
23-Jul-1884,White,Na,Bisexual,1929,The Last Command,Emil Jannings
29-Mar-1889,White,Na,Straight,1930,In Old Arizona,Warner Baxter
10-Apr-1868,White,Na,Straight,1930,Desraeli,George Arliss
28-Apr-1878,White,Roman Catholic,Straight,1931,A Free Soul,Lionel Barrymore
1-Apr-1885,White,Na,Straight,1932,The Champ,Wallace Beery
1-Jul-1899,White,Roman Catholic,Gay,1934,The Private Life of Henry VIII,Charles Laughton
01-פבר-01,White,Na,Straight,1935,It Happened One Night,Clark Gable
11-Dec-1883,White,Anglican/episcopalian,Straight,1936,The Informer,Victor McLaglen
22-Sep-1895,White,Jewish,Straight,1937,The Story of Louis Pasteur,Paul Muni
05-אפר-00,White,Roman Catholic,Straight,1938,Captains Courageous,Spencer Tracy
05-אפר-00,White,Roman Catholic,Straight,1939,Boys Town,Spencer Tracy
18-מרץ-05,White,Na,Straight,1940,Goodbye Mr. Chips,Robert Donat
20-מאי-08,White,Presbyterian,Straight,1941,The Philadelphia Story,Jimmy Stewart
07-מאי-01,White,Roman Catholic,Straight,1942,Sergeant York,Gary Cooper
17-Jul-1899,White,Roman Catholic,Straight,1943,Yankee Doodle Dandy,James Cagney
26-May-1887,White,Na,Straight,1944,Watch on the Rhine,Paul Lukas
