date_of_birth,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,movie,person
30-Sep-1895,1,Na,1,Straight,1,1927,1,Best Director,Two Arabian Knights,Lewis Milestone
2-Feb-1886,1,Na,1,Straight,0.6842,1930,1,Best Director,The Divine Lady,Frank Lloyd
30-Sep-1895,1,Na,1,Straight,1,1931,0.6667,Best Director,All Quiet on the Western Front,Lewis Milestone
23-Feb-1899,1,Na,1,Straight,1,1932,1,Best Director,Skippy,Norman Taurog
23-Apr-1894,1,Roman Catholic,1,Straight,1,1933,1,Best Director,Bad Girl,Frank Borzage
2-Feb-1886,1,Na,1,Straight,1,1934,1,Best Director,Cavalcade,Frank Lloyd
18-May-1897,1,Roman Catholic,1,Straight,1,1935,1,Best Director,It Happened One Night,Frank Capra
1-Feb-1894,1,Roman Catholic,1,Bisexual,1,1936,1,Best Director,The Informer,John Ford
18-May-1897,1,Roman Catholic,1,Straight,1,1937,1,Best Director,Mr. Deeds Goes to Town,Frank Capra
3-Oct-1898,1,Na,1,Straight,1,1938,1,Best Director,The Awful Truth,Leo McCarey
18-May-1897,1,Roman Catholic,1,Straight,1,1939,1,Best Director,You Can't Take It with You,Frank Capra
23-Feb-1883,1,Na,1,Straight,1,1940,1,Best Director,Gone with the Wind,Victor Fleming
1-Feb-1894,1,Roman Catholic,1,Bisexual,1,1941,1,Best Director,The Grapes of Wrath,John Ford
1-Feb-1894,1,Roman Catholic,1,Bisexual,1,1942,1,Best Director,How Green Was My Valley,John Ford
01-ιπε-00,1,Na,1,Straight,1,1943,1,Best Director,Mrs. Miniver,William Wyler
24-Dec-1886,1,Na,1,Straight,1,1944,1,Best Director,Casablanca,Michael Curtiz
3-Oct-1898,1,Na,1,Straight,1,1945,1,Best Director,Going My Way,Leo McCarey
11-ιπε-00,1,Jewish,1,Gay,1,1962,1,Best Director,West Side Story,Jerome Robbins
22-ιπε-00,1,Jewish,1,Straight,1,1946,1,Best Director,The Lost Weekend,Billy Wilder
01-ιπε-00,1,Na,1,Straight,1,1947,1,Best Director,The Best Years of Our Lives,William Wyler
07-ιπε-00,1,Na,1,Straight,1,1948,1,Best Director,Gentleman's Agreement,Elia Kazan
05-ιπε-00,1,Na,1,Straight,1,1949,1,Best Director,The Treasure of the Sierra Madre,John Huston
11-ιπε-00,1,Jewish,1,Straight,1,1950,1,Best Director,A Letter to Three Wives,Joseph L. Mankiewicz
11-ιπε-00,1,Jewish,1,Straight,1,1951,1,Best Director,All About Eve,Joseph L. Mankiewicz
18-ιπε-00,1,Na,1,Straight,1,1952,1,Best Director,A Place in the Sun,George Stevens
1-Feb-1894,1,Roman Catholic,1,Bisexual,1,1953,1,Best Director,The Quiet Man,John Ford
29-ιπε-00,1,Jewish,1,Straight,1,1954,1,Best Director,From Here to Eternity,Fred Zinnemann
07-ιπε-00,1,Na,1,Straight,1,1955,1,Best Director,On the Waterfront,Elia Kazan
30-ιπε-00,1,Presbyterian,1,Straight,1,1956,1,Best Director,Marty,Delbert Mann
18-ιπε-00,1,Na,1,Straight,1,1957,1,Best Director,Giant,George Stevens
25-ιπε-00,1,Na,1,Straight,0.6667,1958,1,Best Director,The Bridge on the River Kwai,David Lean
28-ιπε-00,1,Na,1,Bisexual,1,1959,1,Best Director,Gigi,Vincente Minnelli
01-ιπε-00,1,Na,1,Straight,1,1960,1,Best Director,Ben-Hur,William Wyler
22-ιπε-00,1,Jewish,0.963,Straight,1,1961,1,Best Director,The Apartment,Billy Wilder
10-ιπε-00,1,Na,1,Straight,1,1961,0.6667,Best Director,West Side Story,Robert Wise
25-ιπε-00,1,Na,1,Straight,1,1963,1,Best Director,Lawrence of Arabia,David Lean
05-ιπε-00,1,Na,1,Bisexual,1,1964,1,Best Director,Tom Jones,Tony Richardson
7-Jul-1899,1,Na,0.6571,Gay,0.6571,1965,1,Best Director,My Fair Lady,George Cukor
10-ιπε-00,1,Na,1,Straight,1,1966,1,Best Director,The Sound of Music,Robert Wise
29-ιπε-00,1,Jewish,1,Straight,1,1967,1,Best Director,A Man for All Seasons,Fred Zinnemann
06-ιπε-00,1,Jewish,1,Straight,1,1968,1,Best Director,The Graduate,Mike Nichols
29-ιπε-00,1,Jewish,1,Straight,1,2008,1,Best Director,No Country for Old Men,Joel Coen
30-ιπε-00,1,Na,1,Straight,1,1969,1,Best Director,Oliver!,Carol Reed
16-ιπε-00,1,Na,1,Gay,1,1969,1,Best Director,Midnight Cowboy,John Schlesinger
30-ιπε-00,1,Na,1,Straight,1,1970,1,Best Director,Patton,Franklin J. Schaffner
